from,to
2012012_786,2012072_786
2012012_785,2012072_785
2012012_739,2012072_739
2012012_732,2012072_732
2012012_728,2012072_728
2012012_723,2012072_723
2012012_714,2012072_714
2012012_713,2012072_713
2012012_668,2012072_668
2012012_667,2012072_667
2012012_645,2012072_645
2012012_644,2012072_644
2012012_643,2012072_643
2012012_642,2012072_642
2012012_641,2012072_641
2012012_640,2012072_640
2012012_597,2012072_597
2012012_596,2012072_596
2012012_595,2012072_595
2012012_586,2012072_586
2012012_585,2012072_585
2012012_584,2012072_584
2012012_570,2012072_570
2012012_569,2012072_569
2012012_526,2012072_526
2012012_525,2012072_525
2012012_524,2012072_524
2012012_523,2012072_523
2012012_522,2012072_522
2012012_521,2012072_521
2012012_516,2012072_516
2012012_514,2012072_514
2012012_512,2012072_512
2012012_506,2012072_506
2012012_505,2012072_505
2012012_500,2012072_500
2012012_498,2012072_498
2012012_497,2012072_497
2012012_449,2012072_449
2012012_440,2012072_440
2012012_439,2012072_439
2012012_432,2012072_432
2012012_428,2012072_428
2012012_426,2012072_426
2012012_383,2012072_383
2012012_356,2012072_356
2012012_3263,2012072_3263
2012012_3255,2012072_3255
2012012_3215,2012072_3215
2012012_3211,2012072_3211
2012012_3208,2012072_3208
2012012_3201,2012072_3201
2012012_3192,2012072_3192
2012012_3191,2012072_3191
2012012_3190,2012072_3190
2012012_3189,2012072_3189
2012012_3186,2012072_3186
2012012_3184,2012072_3184
2012012_3183,2012072_3183
2012012_3140,2012072_3140
2012012_3138,2012072_3138
2012012_3137,2012072_3137
2012012_3123,2012072_3123
2012012_3119,2012072_3119
2012012_3118,2012072_3118
2012012_3117,2012072_3117
2012012_3116,2012072_3116
2012012_3115,2012072_3115
2012012_3114,2012072_3114
2012012_3113,2012072_3113
2012012_3112,2012072_3112
2012012_3111,2012072_3111
2012012_3110,2012072_3110
2012012_3068,2012072_3068
2012012_3046,2012072_3046
2012012_3045,2012072_3045
2012012_3044,2012072_3044
2012012_3043,2012072_3043
2012012_3042,2012072_3042
2012012_2987,2012072_2987
2012012_2978,2012072_2978
2012012_2977,2012072_2977
2012012_2976,2012072_2976
2012012_2971,2012072_2971
2012012_2970,2012072_2970
2012012_2968,2012072_2968
2012012_2966,2012072_2966
2012012_2906,2012072_2906
2012012_2905,2012072_2905
2012012_2903,2012072_2903
2012012_2899,2012072_2899
2012012_2897,2012072_2897
2012012_2896,2012072_2896
2012012_2895,2012072_2895
2012012_2894,2012072_2894
2012012_2893,2012072_2893
2012012_2892,2012072_2892
2012012_2891,2012072_2891
2012012_2890,2012072_2890
2012012_286,2012072_286
2012012_285,2012072_285
2012012_284,2012072_284
2012012_2835,2012072_2835
2012012_2833,2012072_2833
2012012_283,2012072_283
2012012_2827,2012072_2827
2012012_2826,2012072_2826
2012012_2825,2012072_2825
2012012_2824,2012072_2824
2012012_2823,2012072_2823
2012012_2822,2012072_2822
2012012_2821,2012072_2821
2012012_2820,2012072_2820
2012012_2819,2012072_2819
2012012_2818,2012072_2818
2012012_2810,2012072_2810
2012012_2809,2012072_2809
2012012_2808,2012072_2808
2012012_2760,2012072_2760
2012012_2752,2012072_2752
2012012_2751,2012072_2751
2012012_2750,2012072_2750
2012012_2749,2012072_2749
2012012_2748,2012072_2748
2012012_2747,2012072_2747
2012012_2746,2012072_2746
2012012_2739,2012072_2739
2012012_2738,2012072_2738
2012012_2737,2012072_2737
2012012_2736,2012072_2736
2012012_2679,2012072_2679
2012012_2677,2012072_2677
2012012_2676,2012072_2676
2012012_235,2012072_235
2012012_1079,2012072_1079
2012012_1007,2012072_1007
2012012_1006,2012072_1006
2012011_782,2012071_782
2012011_777,2012071_777
2012011_766,2012071_766
2012011_765,2012071_765
2012011_764,2012071_764
2012011_761,2012071_761
2012011_713,2012071_713
2012011_694,2012071_694
2012011_693,2012071_693
2012011_692,2012071_692
2012011_647,2012071_647
2012011_643,2012071_643
2012011_637,2012071_637
2012011_632,2012071_632
2012011_629,2012071_629
2012011_625,2012071_625
2012011_624,2012071_624
2012011_623,2012071_623
2012011_622,2012071_622
2012011_621,2012071_621
2012011_617,2012071_617
2012011_571,2012071_571
2012011_566,2012071_566
2012011_565,2012071_565
2012011_558,2012071_558
2012011_557,2012071_557
2012011_554,2012071_554
2012011_550,2012071_550
2012011_549,2012071_549
2012011_499,2012071_499
2012011_498,2012071_498
2012011_494,2012071_494
2012011_493,2012071_493
2012011_487,2012071_487
2012011_477,2012071_477
2012011_462,2012071_462
2012011_425,2012071_425
2012011_423,2012071_423
2012011_422,2012071_422
2012011_421,2012071_421
2012011_420,2012071_420
2012011_419,2012071_419
2012011_418,2012071_418
2012011_417,2012071_417
2012011_416,2012071_416
2012011_415,2012071_415
2012011_412,2012071_412
2012011_411,2012071_411
2012011_350,2012071_350
2012011_348,2012071_348
2012011_344,2012071_344
2012011_339,2012071_339
2012011_338,2012071_338
2012011_337,2012071_337
2012011_3086,2012071_3086
2012011_3028,2012071_3028
2012011_3008,2012071_3008
2012011_3007,2012071_3007
2012011_2947,2012071_2947
2012011_2946,2012071_2946
2012011_2943,2012071_2943
2012011_2940,2012071_2940
2012011_2936,2012071_2936
2012011_2935,2012071_2935
2012011_2934,2012071_2934
2012011_2933,2012071_2933
2012011_2930,2012071_2930
2012011_2921,2012071_2921
2012011_2908,2012071_2908
2012011_2879,2012071_2879
2012011_2878,2012071_2878
2012011_2877,2012071_2877
2012011_2876,2012071_2876
2012011_2875,2012071_2875
2012011_2868,2012071_2868
2012011_2867,2012071_2867
2012011_2866,2012071_2866
2012011_2865,2012071_2865
2012011_2864,2012071_2864
2012011_2863,2012071_2863
2012011_2861,2012071_2861
2012011_2855,2012071_2855
2012011_2850,2012071_2850
2012011_2848,2012071_2848
2012011_2838,2012071_2838
2012011_2802,2012071_2802
2012011_2796,2012071_2796
2012011_2795,2012071_2795
2012011_2792,2012071_2792
2012011_2784,2012071_2784
2012011_2776,2012071_2776
2012011_276,2012071_276
2012011_273,2012071_273
2012011_272,2012071_272
2012011_2701,2012071_2701
2012011_269,2012071_269
2012011_266,2012071_266
2012011_2357,2012071_2357
2012011_201,2012071_201
2012011_1828,2012071_1828
2012011_1412,2012071_1412
2012011_1179,2012071_1179
2012011_114,2012071_114
2012011_1112,2012071_1112
2012011_1111,2012071_1111
2011013_94,2011073_94
2011013_9,2011073_9
2011013_88,2011073_88
2011013_87,2011073_87
2011013_86,2011073_86
2011013_82,2011073_82
2011013_81,2011073_81
2011013_80,2011073_80
2011013_79,2011073_79
2011013_78,2011073_78
2011013_76,2011073_76
2011013_75,2011073_75
2011013_74,2011073_74
2011013_73,2011073_73
2011013_70,2011073_70
2011013_69,2011073_69
2011013_68,2011073_68
2011013_67,2011073_67
2011013_64,2011073_64
2011013_63,2011073_63
2011013_62,2011073_62
2011013_61,2011073_61
2011013_60,2011073_60
2011013_58,2011073_58
2011013_57,2011073_57
2011013_56,2011073_56
2011013_55,2011073_55
2011013_54,2011073_54
2011013_53,2011073_53
2011013_52,2011073_52
2011013_51,2011073_51
2011013_50,2011073_50
2011013_49,2011073_49
2011013_48,2011073_48
2011013_46,2011073_46
2011013_45,2011073_45
2011013_44,2011073_44
2011013_43,2011073_43
2011013_42,2011073_42
2011013_4,2011073_4
2011013_39,2011073_39
2011013_38,2011073_38
2011013_37,2011073_37
2011013_36,2011073_36
2011013_35,2011073_35
2011013_34,2011073_34
2011013_33,2011073_33
2011013_32,2011073_32
2011013_31,2011073_31
2011013_30,2011073_30
2011013_3,2011073_3
2011013_29,2011073_29
2011013_28,2011073_28
2011013_27,2011073_27
2011013_26,2011073_26
2011013_25,2011073_25
2011013_24,2011073_24
2011013_23,2011073_23
2011013_22,2011073_22
2011013_21,2011073_21
2011013_20,2011073_20
2011013_19,2011073_19
2011013_18,2011073_18
2011013_17,2011073_17
2011013_16,2011073_16
2011013_15,2011073_15
2011013_14,2011073_14
2011013_12,2011073_12
2011013_11,2011073_11
2011013_10,2011073_10
2011012_935,2011072_935
2011012_934,2011072_934
2011012_933,2011072_933
2011012_869,2011072_869
2011012_862,2011072_862
2011012_861,2011072_861
2011012_860,2011072_860
2011012_859,2011072_859
2011012_790,2011072_790
2011012_788,2011072_788
2011012_787,2011072_787
2011012_786,2011072_786
2011012_785,2011072_785
2011012_718,2011072_718
2011012_717,2011072_717
2011012_716,2011072_716
2011012_715,2011072_715
2011012_714,2011072_714
2011012_713,2011072_713
2011012_712,2011072_712
2011012_655,2011072_655
2011012_647,2011072_647
2011012_646,2011072_646
2011012_645,2011072_645
2011012_644,2011072_644
2011012_643,2011072_643
2011012_642,2011072_642
2011012_641,2011072_641
2011012_640,2011072_640
2011012_637,2011072_637
2011012_636,2011072_636
2011012_60,2011072_60
2011012_596,2011072_596
2011012_58,2011072_58
2011012_575,2011072_575
2011012_574,2011072_574
2011012_573,2011072_573
2011012_572,2011072_572
2011012_571,2011072_571
2011012_570,2011072_570
2011012_57,2011072_57
2011012_569,2011072_569
2011012_568,2011072_568
2011012_567,2011072_567
2011012_565,2011072_565
2011012_56,2011072_56
2011012_53,2011072_53
2011012_524,2011072_524
2011012_523,2011072_523
2011012_522,2011072_522
2011012_52,2011072_52
2011012_514,2011072_514
2011012_51,2011072_51
2011012_503,2011072_503
2011012_502,2011072_502
2011012_501,2011072_501
2011012_500,2011072_500
2011012_499,2011072_499
2011012_498,2011072_498
2011012_497,2011072_497
2011012_496,2011072_496
2011012_494,2011072_494
2011012_493,2011072_493
2011012_48,2011072_48
2011012_440,2011072_440
2011012_439,2011072_439
2011012_431,2011072_431
2011012_430,2011072_430
2011012_429,2011072_429
2011012_428,2011072_428
2011012_427,2011072_427
2011012_426,2011072_426
2011012_425,2011072_425
2011012_424,2011072_424
2011012_423,2011072_423
2011012_422,2011072_422
2011012_421,2011072_421
2011012_359,2011072_359
2011012_358,2011072_358
2011012_357,2011072_357
2011012_356,2011072_356
2011012_355,2011072_355
2011012_354,2011072_354
2011012_353,2011072_353
2011012_352,2011072_352
2011012_349,2011072_349
2011012_347,2011072_347
2011012_337,2011072_337
2011012_331,2011072_331
2011012_3200,2011072_3200
2011012_3195,2011072_3195
2011012_3193,2011072_3193
2011012_3192,2011072_3192
2011012_3191,2011072_3191
2011012_3189,2011072_3189
2011012_3184,2011072_3184
2011012_3183,2011072_3183
2011012_3148,2011072_3148
2011012_3146,2011072_3146
2011012_3142,2011072_3142
2011012_3141,2011072_3141
2011012_3140,2011072_3140
2011012_3139,2011072_3139
2011012_3129,2011072_3129
2011012_3128,2011072_3128
2011012_3127,2011072_3127
2011012_3123,2011072_3123
2011012_3114,2011072_3114
2011012_3113,2011072_3113
2011012_3112,2011072_3112
2011012_3110,2011072_3110
2011012_3108,2011072_3108
2011012_3075,2011072_3075
2011012_3057,2011072_3057
2011012_2988,2011072_2988
2011012_2970,2011072_2970
2011012_2968,2011072_2968
2011012_2923,2011072_2923
2011012_2922,2011072_2922
2011012_2906,2011072_2906
2011012_2903,2011072_2903
2011012_2901,2011072_2901
2011012_288,2011072_288
2011012_287,2011072_287
2011012_286,2011072_286
2011012_285,2011072_285
2011012_2841,2011072_2841
2011012_2840,2011072_2840
2011012_284,2011072_284
2011012_283,2011072_283
2011012_2827,2011072_2827
2011012_2826,2011072_2826
2011012_2824,2011072_2824
2011012_282,2011072_282
2011012_281,2011072_281
2011012_280,2011072_280
2011012_279,2011072_279
2011012_277,2011072_277
2011012_276,2011072_276
2011012_2751,2011072_2751
2011012_275,2011072_275
2011012_2749,2011072_2749
2011012_2739,2011072_2739
2011012_2738,2011072_2738
2011012_268,2011072_268
2011012_267,2011072_267
2011012_262,2011072_262
2011012_261,2011072_261
2011012_260,2011072_260
2011012_259,2011072_259
2011012_258,2011072_258
2011012_212,2011072_212
2011012_211,2011072_211
2011012_210,2011072_210
2011012_209,2011072_209
2011012_208,2011072_208
2011012_207,2011072_207
2011012_206,2011072_206
2011012_200,2011072_200
2011012_199,2011072_199
2011012_198,2011072_198
2011012_196,2011072_196
2011012_193,2011072_193
2011012_192,2011072_192
2011012_187,2011072_187
2011012_186,2011072_186
2011012_137,2011072_137
2011012_136,2011072_136
2011012_135,2011072_135
2011012_134,2011072_134
2011012_133,2011072_133
2011012_131,2011072_131
2011012_130,2011072_130
2011012_129,2011072_129
2011012_127,2011072_127
2011012_124,2011072_124
2011012_121,2011072_121
2011012_120,2011072_120
2011012_119,2011072_119
2011012_1007,2011072_1007
2011012_1006,2011072_1006
2011011_975,2011071_975
2011011_969,2011071_969
2011011_947,2011071_947
2011011_904,2011071_904
2011011_903,2011071_903
2011011_902,2011071_902
2011011_898,2011071_898
2011011_825,2011071_825
2011011_780,2011071_780
2011011_765,2011071_765
2011011_761,2011071_761
2011011_694,2011071_694
2011011_693,2011071_693
2011011_692,2011071_692
2011011_691,2011071_691
2011011_683,2011071_683
2011011_676,2011071_676
2011011_625,2011071_625
2011011_624,2011071_624
2011011_623,2011071_623
2011011_622,2011071_622
2011011_621,2011071_621
2011011_61,2011071_61
2011011_607,2011071_607
2011011_499,2011071_499
2011011_498,2011071_498
2011011_487,2011071_487
2011011_422,2011071_422
2011011_421,2011071_421
2011011_416,2011071_416
2011011_415,2011071_415
2011011_402,2011071_402
2011011_339,2011071_339
2011011_338,2011071_338
2011011_337,2011071_337
2011011_3156,2011071_3156
2011011_3071,2011071_3071
2011011_3007,2011071_3007
2011011_3002,2011071_3002
2011011_3001,2011071_3001
2011011_3000,2011071_3000
2011011_2999,2011071_2999
2011011_2998,2011071_2998
2011011_2946,2011071_2946
2011011_2935,2011071_2935
2011011_2934,2011071_2934
2011011_2933,2011071_2933
2011011_2930,2011071_2930
2011011_2929,2011071_2929
2011011_2928,2011071_2928
2011011_2927,2011071_2927
2011011_2925,2011071_2925
2011011_2907,2011071_2907
2011011_2868,2011071_2868
2011011_2862,2011071_2862
2011011_2861,2011071_2861
2011011_2859,2011071_2859
2011011_2858,2011071_2858
2011011_2857,2011071_2857
2011011_2856,2011071_2856
2011011_2855,2011071_2855
2011011_2795,2011071_2795
2011011_2785,2011071_2785
2011011_2784,2011071_2784
2011011_2783,2011071_2783
2011011_2777,2011071_2777
2011011_273,2011071_273
2011011_2724,2011071_2724
2011011_2704,2011071_2704
2011011_2703,2011071_2703
2011011_2702,2011071_2702
2011011_266,2011071_266
2011011_2631,2011071_2631
2011011_2476,2011071_2476
2011011_2423,2011071_2423
2011011_242,2011071_242
2011011_2408,2011071_2408
2011011_2404,2011071_2404
2011011_2352,2011071_2352
2011011_2334,2011071_2334
2011011_229,2011071_229
2011011_2044,2011071_2044
2011011_1977,2011071_1977
2011011_1969,2011071_1969
2011011_1913,2011071_1913
2011011_1904,2011071_1904
2011011_1897,2011071_1897
2011011_1826,2011071_1826
2011011_1824,2011071_1824
2011011_1766,2011071_1766
2011011_1762,2011071_1762
2011011_1756,2011071_1756
2011011_1754,2011071_1754
2011011_1695,2011071_1695
2011011_1693,2011071_1693
2011011_1692,2011071_1692
2011011_1691,2011071_1691
2011011_1684,2011071_1684
2011011_1620,2011071_1620
2011011_1619,2011071_1619
2011011_1612,2011071_1612
2011011_1611,2011071_1611
2011011_1610,2011071_1610
2011011_1548,2011071_1548
2011011_1541,2011071_1541
2011011_1540,2011071_1540
2011011_1539,2011071_1539
2011011_1469,2011071_1469
2011011_1468,2011071_1468
2011011_1467,2011071_1467
2011011_1407,2011071_1407
2011011_1404,2011071_1404
2011011_1396,2011071_1396
2011011_1394,2011071_1394
2011011_1374,2011071_1374
2011011_1331,2011071_1331
2011011_1322,2011071_1322
2011011_1253,2011071_1253
2011011_1250,2011071_1250
2011011_1249,2011071_1249
2011011_1189,2011071_1189
2011011_1181,2011071_1181
2011011_1178,2011071_1178
2011011_1116,2011071_1116
2011011_1114,2011071_1114
2011011_1111,2011071_1111
2011011_1046,2011071_1046
2011011_1020,2011071_1020
2010013_98,2010073_98
2010013_94,2010073_94
2010013_90,2010073_90
2010013_9,2010073_9
2010013_89,2010073_89
2010013_87,2010073_87
2010013_85,2010073_85
2010013_81,2010073_81
2010013_80,2010073_80
2010013_8,2010073_8
2010013_75,2010073_75
2010013_74,2010073_74
2010013_73,2010073_73
2010013_70,2010073_70
2010013_69,2010073_69
2010013_68,2010073_68
2010013_67,2010073_67
2010013_64,2010073_64
2010013_63,2010073_63
2010013_62,2010073_62
2010013_61,2010073_61
2010013_60,2010073_60
2010013_58,2010073_58
2010013_57,2010073_57
2010013_56,2010073_56
2010013_55,2010073_55
2010013_54,2010073_54
2010013_51,2010073_51
2010013_48,2010073_48
2010013_45,2010073_45
2010013_44,2010073_44
2010013_42,2010073_42
2010013_4,2010073_4
2010013_38,2010073_38
2010013_37,2010073_37
2010013_32,2010073_32
2010013_30,2010073_30
2010013_27,2010073_27
2010013_26,2010073_26
2010013_25,2010073_25
2010013_24,2010073_24
2010013_20,2010073_20
2010013_18,2010073_18
2010013_16,2010073_16
2010013_12,2010073_12
2010012_934,2010072_934
2010012_933,2010072_933
2010012_862,2010072_862
2010012_861,2010072_861
2010012_859,2010072_859
2010012_788,2010072_788
2010012_715,2010072_715
2010012_713,2010072_713
2010012_647,2010072_647
2010012_645,2010072_645
2010012_644,2010072_644
2010012_643,2010072_643
2010012_640,2010072_640
2010012_596,2010072_596
2010012_573,2010072_573
2010012_572,2010072_572
2010012_571,2010072_571
2010012_570,2010072_570
2010012_524,2010072_524
2010012_501,2010072_501
2010012_500,2010072_500
2010012_498,2010072_498
2010012_497,2010072_497
2010012_496,2010072_496
2010012_431,2010072_431
2010012_430,2010072_430
2010012_428,2010072_428
2010012_426,2010072_426
2010012_425,2010072_425
2010012_424,2010072_424
2010012_359,2010072_359
2010012_358,2010072_358
2010012_355,2010072_355
2010012_353,2010072_353
2010012_3262,2010072_3262
2010012_3215,2010072_3215
2010012_3192,2010072_3192
2010012_3191,2010072_3191
2010012_3189,2010072_3189
2010012_3186,2010072_3186
2010012_3185,2010072_3185
2010012_3184,2010072_3184
2010012_3183,2010072_3183
2010012_3119,2010072_3119
2010012_3118,2010072_3118
2010012_3117,2010072_3117
2010012_3115,2010072_3115
2010012_3114,2010072_3114
2010012_3112,2010072_3112
2010012_3111,2010072_3111
2010012_3110,2010072_3110
2010012_3109,2010072_3109
2010012_3108,2010072_3108
2010012_3049,2010072_3049
2010012_3045,2010072_3045
2010012_3043,2010072_3043
2010012_2987,2010072_2987
2010012_2971,2010072_2971
2010012_2969,2010072_2969
2010012_2967,2010072_2967
2010012_2966,2010072_2966
2010012_2924,2010072_2924
2010012_2923,2010072_2923
2010012_2922,2010072_2922
2010012_2906,2010072_2906
2010012_2905,2010072_2905
2010012_2903,2010072_2903
2010012_2902,2010072_2902
2010012_2901,2010072_2901
2010012_2900,2010072_2900
2010012_2899,2010072_2899
2010012_2898,2010072_2898
2010012_2897,2010072_2897
2010012_2896,2010072_2896
2010012_2895,2010072_2895
2010012_2894,2010072_2894
2010012_2891,2010072_2891
2010012_286,2010072_286
2010012_285,2010072_285
2010012_284,2010072_284
2010012_283,2010072_283
2010012_2827,2010072_2827
2010012_2826,2010072_2826
2010012_2823,2010072_2823
2010012_2822,2010072_2822
2010012_2820,2010072_2820
2010012_2819,2010072_2819
2010012_2818,2010072_2818
2010012_2810,2010072_2810
2010012_281,2010072_281
2010012_2809,2010072_2809
2010012_2808,2010072_2808
2010012_280,2010072_280
2010012_275,2010072_275
2010012_2749,2010072_2749
2010012_2748,2010072_2748
2010012_2739,2010072_2739
2010012_2738,2010072_2738
2010012_2737,2010072_2737
2010012_2676,2010072_2676
2010012_261,2010072_261
2010012_260,2010072_260
2010012_212,2010072_212
2010012_211,2010072_211
2010012_206,2010072_206
2010012_199,2010072_199
2010012_196,2010072_196
2010012_129,2010072_129
2010012_1007,2010072_1007
2010012_1006,2010072_1006
2010011_923,2010071_923
2010011_692,2010071_692
2010011_691,2010071_691
2010011_629,2010071_629
2010011_625,2010071_625
2010011_624,2010071_624
2010011_623,2010071_623
2010011_597,2010071_597
2010011_596,2010071_596
2010011_554,2010071_554
2010011_553,2010071_553
2010011_499,2010071_499
2010011_487,2010071_487
2010011_422,2010071_422
2010011_421,2010071_421
2010011_420,2010071_420
2010011_366,2010071_366
2010011_354,2010071_354
2010011_338,2010071_338
2010011_3071,2010071_3071
2010011_3008,2010071_3008
2010011_3007,2010071_3007
2010011_3000,2010071_3000
2010011_2951,2010071_2951
2010011_2950,2010071_2950
2010011_2949,2010071_2949
2010011_2947,2010071_2947
2010011_2936,2010071_2936
2010011_2935,2010071_2935
2010011_2934,2010071_2934
2010011_2932,2010071_2932
2010011_2930,2010071_2930
2010011_2928,2010071_2928
2010011_2927,2010071_2927
2010011_2921,2010071_2921
2010011_2878,2010071_2878
2010011_2877,2010071_2877
2010011_2876,2010071_2876
2010011_2875,2010071_2875
2010011_2874,2010071_2874
2010011_2863,2010071_2863
2010011_2858,2010071_2858
2010011_2857,2010071_2857
2010011_2856,2010071_2856
2010011_2855,2010071_2855
2010011_2820,2010071_2820
2010011_2784,2010071_2784
2010011_2783,2010071_2783
2010011_2778,2010071_2778
2010011_2777,2010071_2777
2010011_2776,2010071_2776
2010011_2706,2010071_2706
2010011_2705,2010071_2705
2010011_2703,2010071_2703
2010011_2702,2010071_2702
2010011_2631,2010071_2631
2010011_2485,2010071_2485
2010011_2233,2010071_2233
2010011_220,2010071_220
2010011_1692,2010071_1692
2010011_1691,2010071_1691
2010011_1620,2010071_1620
2010011_1548,2010071_1548
2010011_130,2010071_130
2010011_1261,2010071_1261
2010011_1119,2010071_1119
2010011_1046,2010071_1046
2009013_86,2009073_86
2009013_82,2009073_82
2009013_81,2009073_81
2009013_78,2009073_78
2009013_76,2009073_76
2009013_75,2009073_75
2009013_74,2009073_74
2009013_67,2009073_67
2009013_64,2009073_64
2009013_44,2009073_44
2009013_42,2009073_42
2009013_4,2009073_4
2009013_36,2009073_36
2009013_20,2009073_20
2009013_15,2009073_15
2009012_788,2009072_788
2009012_739,2009072_739
2009012_717,2009072_717
2009012_651,2009072_651
2009012_584,2009072_584
2009012_512,2009072_512
2009012_508,2009072_508
2009012_507,2009072_507
2009012_506,2009072_506
2009012_505,2009072_505
2009012_503,2009072_503
2009012_502,2009072_502
2009012_498,2009072_498
2009012_497,2009072_497
2009012_496,2009072_496
2009012_440,2009072_440
2009012_433,2009072_433
2009012_432,2009072_432
2009012_431,2009072_431
2009012_430,2009072_430
2009012_426,2009072_426
2009012_425,2009072_425
2009012_382,2009072_382
2009012_353,2009072_353
2009012_3201,2009072_3201
2009012_3065,2009072_3065
2009012_2997,2009072_2997
2009012_286,2009072_286
2009012_284,2009072_284
2009012_283,2009072_283
2009012_211,2009072_211
2009012_2,2009072_2
2009011_848,2009071_848
2009011_776,2009071_776
2009011_765,2009071_765
2009011_764,2009071_764
2009011_712,2009071_712
2009011_711,2009071_711
2009011_710,2009071_710
2009011_709,2009071_709
2009011_693,2009071_693
2009011_692,2009071_692
2009011_691,2009071_691
2009011_632,2009071_632
2009011_625,2009071_625
2009011_623,2009071_623
2009011_573,2009071_573
2009011_571,2009071_571
2009011_570,2009071_570
2009011_569,2009071_569
2009011_500,2009071_500
2009011_499,2009071_499
2009011_494,2009071_494
2009011_493,2009071_493
2009011_424,2009071_424
2009011_422,2009071_422
2009011_421,2009071_421
2009011_420,2009071_420
2009011_3094,2009071_3094
2009011_2377,2009071_2377
2009011_2307,2009071_2307
2009011_2306,2009071_2306
2009011_2305,2009071_2305
2009011_2233,2009071_2233
2008013_86,2008073_86
2008013_81,2008073_81
2008013_80,2008073_80
2008013_74,2008073_74
2008013_69,2008073_69
2008013_64,2008073_64
2008013_63,2008073_63
2008013_62,2008073_62
2008013_61,2008073_61
2008013_58,2008073_58
2008013_57,2008073_57
2008013_56,2008073_56
2008013_52,2008073_52
2008013_51,2008073_51
2008013_48,2008073_48
2008013_46,2008073_46
2008013_45,2008073_45
2008013_44,2008073_44
2008013_43,2008073_43
2008013_40,2008073_40
2008013_39,2008073_39
2008013_38,2008073_38
2008013_37,2008073_37
2008013_36,2008073_36
2008013_33,2008073_33
2008012_718,2008072_718
2008012_647,2008072_647
2008012_502,2008072_502
2008012_1007,2008072_1007
2008011_623,2008071_623
2008011_338,2008071_338
2008011_2855,2008071_2855
2008011_2760,2008071_2760
2008011_266,2008071_266
2008011_2546,2008071_2546
2008011_2475,2008071_2475
2008011_1155,2008071_1155
2007013_76,2007073_76
2007013_58,2007073_58
2007012_576,2007072_576
2007012_3273,2007072_3273
2007012_3219,2007072_3219
2007012_3218,2007072_3218
2007012_3213,2007072_3213
2007012_3210,2007072_3210
2007012_3207,2007072_3207
2007012_3206,2007072_3206
2007012_3205,2007072_3205
2007012_3202,2007072_3202
2007012_3201,2007072_3201
2007012_3200,2007072_3200
2007012_3192,2007072_3192
2007012_3184,2007072_3184
2007012_3183,2007072_3183
2007012_3148,2007072_3148
2007012_3143,2007072_3143
2007012_3142,2007072_3142
2007012_3141,2007072_3141
2007012_3139,2007072_3139
2007012_3138,2007072_3138
2007012_3137,2007072_3137
2007012_3135,2007072_3135
2007012_3134,2007072_3134
2007012_3131,2007072_3131
2007012_3130,2007072_3130
2007012_3129,2007072_3129
2007012_3128,2007072_3128
2007012_3115,2007072_3115
2007012_3111,2007072_3111
2007012_3075,2007072_3075
2007012_3070,2007072_3070
2007012_3069,2007072_3069
2007012_3068,2007072_3068
2007012_3067,2007072_3067
2007012_3066,2007072_3066
2007012_3065,2007072_3065
2007012_3064,2007072_3064
2007012_3063,2007072_3063
2007012_3062,2007072_3062
2007012_3058,2007072_3058
2007012_3040,2007072_3040
2007012_2997,2007072_2997
2007012_2996,2007072_2996
2007012_2995,2007072_2995
2007012_2994,2007072_2994
2007012_2991,2007072_2991
2007012_2990,2007072_2990
2007012_2989,2007072_2989
2007012_2988,2007072_2988
2007012_2987,2007072_2987
2007012_2986,2007072_2986
2007012_2968,2007072_2968
2007012_2924,2007072_2924
2007012_2923,2007072_2923
2007012_2917,2007072_2917
2007012_2915,2007072_2915
2007012_2906,2007072_2906
2007012_2903,2007072_2903
2007012_2901,2007072_2901
2007012_2900,2007072_2900
2007012_2899,2007072_2899
2007012_2895,2007072_2895
2007012_2894,2007072_2894
2007012_2893,2007072_2893
2007012_2892,2007072_2892
2007012_2824,2007072_2824
2007012_2821,2007072_2821
2007012_2820,2007072_2820
2007012_2819,2007072_2819
2007012_2818,2007072_2818
2007012_2749,2007072_2749
2007012_2748,2007072_2748
2007012_2746,2007072_2746
2007012_2740,2007072_2740
2007012_2739,2007072_2739
2007012_2738,2007072_2738
2007012_2737,2007072_2737
2007012_2676,2007072_2676
2007012_2669,2007072_2669
2007011_692,2007071_692
2007011_687,2007071_687
2007011_623,2007071_623
2007011_412,2007071_412
2007011_3080,2007071_3080
2007011_3079,2007071_3079
2007011_3008,2007071_3008
2007011_3006,2007071_3006
2007011_3001,2007071_3001
2007011_2934,2007071_2934
2007011_2929,2007071_2929
2007011_2879,2007071_2879
2007011_2860,2007071_2860
2007011_2857,2007071_2857
2007011_2837,2007071_2837
2007011_2784,2007071_2784
2007011_2778,2007071_2778
2007011_2706,2007071_2706
2007011_266,2007071_266
2007011_2522,2007071_2522
2007011_2232,2007071_2232
2007011_1541,2007071_1541
2007011_1462,2007071_1462
2007011_1116,2007071_1116
2006013_70,2006073_70
2006012_812,2006072_812
2006012_738,2006072_738
2006012_730,2006072_730
2006012_668,2006072_668
2006012_667,2006072_667
2006012_596,2006072_596
2006012_595,2006072_595
2006012_526,2006072_526
2006012_524,2006072_524
2006012_523,2006072_523
2006012_455,2006072_455
2006012_454,2006072_454
2006012_452,2006072_452
2006012_432,2006072_432
2006012_361,2006072_361
2006012_310,2006072_310
2006012_3,2006072_3
2006012_2819,2006072_2819
2006012_2739,2006072_2739
